date,char,roll,dice
2020-06-23 23:06,Caris,4,d20
2020-06-23 23:06,Caris,4,d20
2020-06-23 23:13,Tanus,15,d20
2020-06-23 23:14,Faroon,16,d20
2020-06-23 23:16,Kalain,14,d20
2020-06-23 23:16,Kalain,18,d20
2020-06-23 23:20,Faroon,5,d20
2020-06-23 23:22,Caris,4,d20
2020-06-23 23:24,Faroon,5,d20
2020-06-23 23:24,Faroon,6,d20
2020-06-23 23:24,Faroon,6,d20
2020-06-23 23:24,Faroon,6,d20
2020-07-07 21:11,Tanus,10,d20
2020-07-07 21:11,Kalain,10,d20
2020-07-07 21:11,Faroon,6,d20
2020-07-07 21:11,Caris,16,d20
2020-07-07 21:11,Caris,6,d20
2020-07-07 21:11,Caris,6,d20
2020-07-07 21:22,Faroon,7,na
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:30,Kalain,6,d20
2020-07-07 21:38,Faroon,8,d20
2020-07-07 21:45,Tanus,4,d20
2020-07-07 21:46,Faroon,7,d20
2020-07-07 22:09,Kalain,3,d20
2020-07-07 22:10,Tanus,4,d20
2020-07-07 22:10,Caris,17,d20
2020-07-07 22:22,Caris,12,d20
2020-07-07 22:22,Caris,5,d20
2020-07-07 22:26,Tanus,9,d20
2020-07-07 22:31,Tanus,4,d20
2020-07-07 22:31,Tanus,17,d20
2020-07-07 22:35,Faroon,4,d20
2020-07-07 22:36,Kalain,16,d20
2020-07-07 22:36,Kalain,17,d20
2020-07-07 22:42,Faroon,4,d20
2020-07-07 22:42,Kalain,3,d20
2020-07-07 22:43,Caris,3,d20
2020-07-07 22:43,Tanus,3,d20
2020-07-07 22:45,Tanus,4,d20
2020-07-07 22:45,Tanus,4,d20
2020-07-07 22:50,Tanus,4,d20
2020-07-07 22:52,Kalain,3,d20
2020-07-07 23:01,Faroon,16,d20
2020-07-07 23:21,Tanus,1,d20
2020-07-07 23:28,Faroon,4,d20
2020-07-07 23:28,Tanus,4,d20
2020-07-07 23:28,Kalain,4,d20
2020-07-07 23:29,Faroon,4,d20
2020-07-07 23:29,Kalain,4,d20
2020-07-07 23:29,Caris,4,d20
2020-07-07 23:30,Faroon,4,d20
2020-07-07 23:30,Faroon,4,d20
2020-07-07 23:46,Kalain,2,1d6+1
2020-07-07 23:47,Faroon,7,1d6+2
2020-07-07 23:47,Faroon,5,1d6+2
2020-07-07 23:47,Caris,5,1d6+1
2020-07-07 23:47,Faroon,7,1d6+2
2020-07-07 23:47,Tanus,8,1d6+2
2020-07-07 23:47,Caris,6,1d6+1
2020-07-07 23:47,Tanus,7,1d6+2
2020-07-07 23:48,Caris,7,1d6+1
2020-07-07 23:48,Kalain,2,1d6+1
2020-07-07 23:49,Kalain,5,1d6+1
2020-07-07 23:50,Caris,6,1d6+1
2020-07-07 23:50,Caris,6,1d6+1
2020-07-13 22:40,Tanus,19,d20
2020-07-13 22:52,Faroon,1,d20
2020-07-13 22:52,Faroon,13,d20
2020-07-13 22:52,Faroon,10,d20
2020-07-13 22:52,Faroon,13,d20
2020-07-13 22:52,Faroon,7,d20
2020-07-13 23:23,Tanus,4,d20
2020-07-13 23:23,Tanus,4,d20
2020-07-13 23:39,Tanus,7,1d6+2
2020-07-13 23:39,Faroon,5,1d6+2
2020-07-22 21:49,Caris,6,d20
2020-07-22 21:51,Faroon,6,d20
2020-07-22 21:51,Faroon,7,1d6+2
2020-07-22 21:51,Faroon,5,1d6+2
2020-07-22 22:03,Tanus,4,1d6+2
2020-07-22 22:03,Kalain,2,1d6+1
2020-07-22 22:03,Caris,5,1d6+1
2020-07-22 22:03,Tanus,3,1d6+2
2020-07-22 22:04,Kalain,5,1d6+1
2020-07-22 22:04,Tanus,5,1d6+2
2020-07-22 22:04,Caris,5,1d6+1
2020-07-22 22:31,Tanus,3,d20
2020-07-22 22:34,Tanus,3,d20
2020-07-22 22:54,Caris,3,d20
2020-07-22 22:57,Tanus,20,d20
2020-07-22 23:17,Caris,6,d20
2020-07-22 23:17,Caris,3,d20
2020-07-22 23:23,Faroon,6,d20
2020-07-22 23:23,Kalain,20,d20
2020-07-22 23:23,Tanus,11,d20
2020-07-22 23:23,Caris,18,d20
2020-07-22 23:28,Kalain,7,na
2020-07-22 23:32,Caris,17,d20
2020-07-22 23:36,Kalain,5,d20
2020-07-22 23:38,Tanus,16,d20
2020-07-22 23:43,Faroon,4,d20
2020-07-22 23:43,Faroon,3,d20
2020-07-22 23:54,Kalain,3,d20
2020-07-23 00:00,Kalain,3,d20
2020-07-23 00:00,Kalain,14,d20
2020-07-27 22:20,Tanus,5,na
2020-07-27 22:52,Kalain,15,d20
2020-07-27 23:02,Caris,13,d20
2020-07-27 23:30,Tanus,2,d20
2020-07-27 23:30,Tanus,14,d20
2020-07-27 23:37,Kalain,6,1d6+1
2020-08-04 21:21,Faroon,11,d20
2020-08-04 21:30,Tanus,1,d20
2020-08-04 21:31,Faroon,3,d20
2020-08-04 21:31,Caris,12,d20
2020-08-04 21:31,Tanus,18,d20
2020-08-04 21:31,Kalain,11,d20
2020-08-04 21:31,Kalain,11,d20
2020-08-04 21:43,Faroon,5,na
2020-08-04 21:47,Caris,3,d20
2020-08-04 21:49,Faroon,10,d20
2020-08-04 21:50,Tanus,6,d20
2020-08-04 21:50,Kalain,11,d20
2020-08-04 21:50,Kalain,8,d20
2020-08-04 21:50,Caris,19,d20
2020-08-04 21:56,Caris,18,d20
2020-08-04 22:00,Kalain,16,d20
2020-08-04 22:00,Kalain,16,d20
2020-08-04 22:00,Kalain,16,d20
2020-08-04 22:00,Faroon,15,d20
2020-08-04 22:00,Faroon,15,d20
2020-08-04 22:00,Faroon,16,d20
2020-08-04 22:24,Caris,6,d20
2020-08-04 22:24,Faroon,1,d20
2020-08-04 22:24,Tanus,6,d20
2020-08-04 22:25,Kalain,5,d20
2020-08-04 22:26,Faroon,18,d20
2020-08-04 22:26,Faroon,18,d20
2020-08-04 22:35,Kalain,11,d20
2020-08-04 22:37,Tanus,2,d20
2020-08-04 22:38,Faroon,20,d20
2020-08-04 22:40,Caris,1,d20
2020-08-04 23:11,Faroon,15,d20
2020-08-04 23:11,Faroon,2,d20
2020-08-04 23:12,Caris,7,d20
2020-08-04 23:12,Tanus,14,d20
2020-08-04 23:12,Kalain,3,d20
2020-08-04 23:15,Kalain,6,d20
2020-08-04 23:17,Tanus,5,d20
2020-08-04 23:26,Caris,1,d20
